,title,date,author,link,text
0,"This Startup Wants to Grow Your Side Hustle For You, While Cutting You a Monthly Check","Apr 11, 2024",Rachel Davies,https://www.entrepreneur.com/starting-a-business/this-company-helps-grow-your-side-hustle-and-pays-you-along/470124,"
Stefan Gehrig's side hustle was doing well — and that became a dilemma.The Melbourne, Australia-based entrepreneur had started a gym bag brand called Knkg, also known as King Kong Apparel, in 2011. It began as a side hustle that scratched an entrepreneurial itch untouched by his academic day job, then grew into his full-time business. But by 2021, he'd hit a wall: To scale up, he needed resources that he didn't have.Meanwhile, in Miami, investor and former PayPal executive Keith Rabois had just helped found a startup called OpenStore, which acquires Shopify stores with growth potential. Gehrig heard about OpenStore, but wasn't interested in selling Knkg. Then, in 2023, the startup launched another offering called OpenStore Drive, which lets Shopify owners retain ownership while handing off operations to OpenStore. That interested Gehrig a lot more.



      The rest of this article is locked.
    

      Join Entrepreneur+ today for access.
    





      Subscribe Now
          



      Already have an account? Sign In


 "
1,Ask Co-Founder of Netflix Marc Randolph Anything: How to Watch,"Apr 11, 2024",Entrepreneur Staff,https://www.entrepreneur.com/starting-a-business/ask-co-founder-of-netflix-marc-randolph-anything-how-to/471201,"
Marc Randolph, the co-founder of Netflix, joins us for another episode of Ask Marc, a live Q&A series about starting and growing your business. The event will begin on Thursday, April 11th at 2:00 PM ET, streaming on our YouTube, LinkedIn, Facebook and X (formerly known as Twitter) channels.Where can I watch Ask Marc?Watch and stream: YouTube, LinkedIn, Facebook & X (formerly known as Twitter)You can watch on your phone, tablet or computer. Ask Marc will be shown in its entirety on YouTube, LinkedIn, Facebook and X (formerly known as Twitter).What time does Ask Marc start?Date: April 11thTime: 2:00 PM ETThe episode kicks off at 2:00pm ET.Why should I watch Ask Marc?Get free business advice directly from the co-founder of Netflix, Marc Randolph. Marc loves helping founders and small business owners, and this your free opportunity to ask him any of your questions about topics like:Starting a businessGrowing a businessRaising moneyBuilding marketing campaignsBest practicesAnything you want to know!
"
2,Stanford Professors On the Counterintuitive Strategy That Helps Google Hire Top Talent,"Apr 8, 2024","Robert I. Sutton and Hayagreeva ""Huggy"" Rao",https://www.entrepreneur.com/growing-a-business/how-google-attracts-top-talent-with-this-counterintuitive/470067,"
Everyone knows the exasperation of unnecessary friction.We've all navigated systems that create maddening ordeals rather than give us simple answers, services, or refunds. We've sat through endless meetings with blabbermouths and ill-defined agendas. We've pulled our hair out over rules, procedures, traditions, and technologies that once made sense, but are now antiquated, pointless, and inefficient. These are all soul-crushing forms of organizational friction that make it difficult to do simple things. And as professors at Stanford's School of Engineering and Graduate School of Business, we spent the last seven years researching the causes and cures for these problems.But one of our biggest discoveries surprised us. It turns out that friction isn't always a problem. In fact, sometimes it can be a solution.



      The rest of this article is locked.
    

      Join Entrepreneur+ today for access.
    





      Subscribe Now
          



      Already have an account? Sign In


 "
3,Entrepreneur+ Subscribers-Only Event | April 17: This Couple Turned Their Unconventional Thinking Into a Million Dollar Business — Here's Their Advice to New Entrepreneurs,"Apr 4, 2024",Entrepreneur Staff,https://www.entrepreneur.com/starting-a-business/entrepreneur-subscribers-only-event-april-17-this/471734,"
On Wednesday, April 17 at 3 p.m. ET, the founders of Little Spoon, one of the fastest-growing direct-to-consumer brands in the U.S., join us in our next Entrepreneur+ Subscriber-Only Event!In this exclusive event, founders Angela Vranich & Ben Lewis will pass on their expert marketing tips and growth strategies so you can apply them to your own business.Related: Become an Entrepreneur+ member for free with code 1FREEJoin us, and you'll learn:How to turn your unconventional thinking into a successful businessCutting-edge marketing and branding techniquesThe key to building relationships, even if you don't have many to startWays to become an authority and thought leader in your spaceThis event is only for Entrepreneur+ subscribers, but you can become a subscriber for FREE. Use code 1FREE at checkout for one month of all access to Entrepreneur.com, including our premium content and the ability to participate in our Subscribers-Only Event.



What is a Subscriber-Only Event?Subscriber-Only Events are exclusive interviews in which we feature a special guest to help create actionable content for Entrepreneur+ subscribers. We set up events with today's most prevalent CEOs, entrepreneurs and celebrities — so that we can provide a productive, exclusive experience for our most dedicated readers and entrepreneurs worldwide.How to access as a subscriber: There are two ways to make sure you don't miss out on this event. Follow this link for easy setup on your Entrepreneur+ homepage. Or, check your inbox for an email that contains the private link to the event. We will also notify your email as the event goes live to make sure you don't miss out.Having issues signing up for the call? Email us at subscribe@entrepreneur.com.About the Speakers:Ben Lewis is an entrepreneur, operator and angel investor with extensive experience at the intersection of brands, food, supply chain and technology. Over the past decade, Ben has honed a well-rounded understanding of what it takes to launch, capitalize, scale and operate a modern consumer brand.


Currently, Ben is CEO and co-founder of Little Spoon, the #1 online baby and kids food brand and one of the fastest-growing direct-to-consumer brands in the US. The company, which is currently feeding upwards of 2.5% of American babies, is on a mission to make parents' lives easier and kids healthier. Since its founding, Little Spoon has delivered more than 45 million meals and amassed a highly engaged, loyal community of customers.As co-founder and Chief Product Officer, Angela Vranich drives Little Spoon's insights-driven product innovation strategy. She meticulously oversees consumer insights, product development, research, and every physical consumer-facing touchpoint.Angela started her career working in food-related television production, where she was involved in creative planning and execution. She decided to follow her passion into the world of organic food, founding a company that performed field marketing activities and grassroots activations for dozens of industry-leading brands. During this time, she managed a team of more than a hundred people in several regions across the country and gained valuable hands-on experience on the front lines of the food business.Use code 1FREE at checkout.
"
4,Long Work Hours Lead to Burnout — Not Productivity. Learn When to Step Back From Certain Tasks — And When to Step Up,"Apr 3, 2024",Evgeny Kireev,https://www.entrepreneur.com/starting-a-business/know-when-to-take-a-step-back-from-certain-tasks-and/470248,"
As an investor and entrepreneur with a number of business activities, I love what I do, but sometimes I wonder if I'm working too much. Entrepreneurs don't work office hours with guaranteed weekend downtime to relax and recharge with family and friends.Entrepreneurial fatigue is a reality for many of us, even if we don't recognize it or are reluctant to admit it, and being passionate about what you do as an entrepreneur means you never really switch off from work mode. But sometimes less really means more. So why should we learn to let go of the so-called work ""hustle culture,"" and what steps should we take to prevent it? Here are some lessons and strategies I have learned while navigating this harmful lifestyle.Related: How to Disrupt Hustle Culture and Build a Business That Supports Your Wellness



Doing too much gets in the way of your long-term growthA company that tries to do too much by way of products or services usually ends up doing none of them with excellence. Resources are spread too thin, goals become confused, and the results are often mediocre rather than outstanding.This holds true not only at a company level but also as an individual. Culturally, we have standardized the idea that being busy equates to being successful, and a jam-packed daily schedule creates the perception that our work must be important and that our time has great market value.


This emphasis on quantity over quality really has nothing to do with the actual work done or our engagement in it. In fact, the more commitments we have, the less we engage and the more stressed we become, with negative consequences at work and at home. Being busy doesn't mean being productive – truthfully, it can have the opposite effect.Why you need balanceAs entrepreneurs, we often find it difficult to maintain a good work-life balance, dedicating the appropriate time and space to our own emotional and spiritual well-being. Business owners with commitments to investors, clients and teams frequently fear that everything they have set in motion will simply grind to a halt without their constant input.You really can't do everything, and it's essential to learn to let go – hard as it may be. Ask yourself some critical questions and find honest answers about what you can let go, what you can delegate, and who can assist so that you are not overstretched.It's easy to convince yourself that you don't have time for hobbies, rest and self-care when, in fact, the truth is you haven't made them a priority. Do regular exercise, eat well and get adequate quality sleep — these will all reduce stress levels, improve creativity and ultimately benefit your business activities. It's okay to prioritize your health; it's essential for your long-term success.


Set up a routine that prioritizes ""me-time"" as much as other people's needs and to-do lists. Establish boundaries with partners, clients, and teams—let them know, and then stick to those limits without feeling guilty. Remember that experiences bring more happiness than possessions, so set goals of quality time and memorable moments with family and friends alongside your professional goals for your business.While I am passionate about game-changing, industry-disrupting, innovative enterprises, there may be such a thing as too much entrepreneurship. After all, anything in excess becomes a poison, and the startup phenomenon has certainly reached a fever pitch.Related: Hustle Culture Is Dying — And It Should Be. Here's How to Start Working Less.Prioritize important tasks based on their level of urgency and importanceThe hustle and the grind are modern concepts that promise success in return for hard work, long hours, and unwavering determination in a society that is more brutally competitive and intense than ever before. While there may be a million things to do in a new startup, many of them are unnecessary and fundamentally a waste of time.


If you want to win the game as an entrepreneur, you need to focus on the few activities that are truly essential—the ones that actually grow and prosper your business—while finding other solutions for administrative tasks, unnecessary calls and meetings, and ""busywork"" activities.Don't lose sight of your most important assetSurveys have shown that business owners spend, on average, 40% of their working time on activities that don't actually contribute to making their business grow bigger and better. If you want to be an effective entrepreneur, differentiate between spending time on your business and spending time in it. Focus on the former, the strategic work that actually builds your business, and get someone else to do the rest.Many entrepreneurs, particularly first-timers, also make the huge mistake of spending too much time chasing funding. Remember that your business is your customers, not your investors, so don't let fundraising take priority over developing and selling products and building relationships with customers. As an investor myself, I look for people who are good at selling a product or service — not good at selling me a business idea.Do what you do best and do what you love, because excellence in your areas of expertise generates what psychologists call ""achievement motivation"", and this is a predictor of success in business. Focus on what empowers you and avoid what discourages you. Don't listen to everyone — this can be tiring and confusing — but always listen to your customers. They are one of your most valuable business assets, they've experienced what you offer, and they know an aspect of your business that you need to understand as fully as possible.


Your vision is your destination, and strategy is the adaptable route that will get you there. Be flexible and change your strategy as you acquire new information, but keep your vision firm and don't let it be altered by distractions along the way.Silence the noise to achieve successWhile there are huge benefits to being able to work anywhere and anytime, it can also mean we unintentionally end up working everywhere, and all the time with a plate that's so full we risk burnout. Focus is a core factor of success, so focus on what aligns with your goals while learning to say ""no"" to things that aren't critical to achieving those goals.This is not being negative; it's being strategic.
"
5,"Zillow Co-Founder Shares a 'Misunderstood' Truth About Starting, Funding and Selling Your Company","Apr 3, 2024",Nicole Lapin,https://www.entrepreneur.com/starting-a-business/founder-of-zillow-and-hotwire-shares-what-most-founders-get/470056,"
Want to start, fund, and sell a major company? Spencer Rascoff has some advice on that — because he's seen it from all sides.As a founder, he first cofounded the travel-booking site Hotwire, which he sold to Expedia. He then cofounded Zillow, which helped reshape nothing smaller than the real-estate market, and served as its CEO for nearly a decade. Now he's a serial board member, an investor (including as general partner at the venture fund 75 & Sunny), and a continual startup founder — including building social platforms for sharing intel on food (Recon Food, which he started with his teenage daughter) or what's best to binge-watch (Queue), saving creatives from the endless emails they face as they chase down business leads (heyLibby.ai), and simplifying the market for co-owning a second home (Pacaso).Related: How to Tap Into Innovation, the Most Essential Part of Your Entrepreneurial Journey



      The rest of this article is locked.
    

      Join Entrepreneur+ today for access.
    





      Subscribe Now
          



      Already have an account? Sign In


 "
6,The Truth About Being in Business With Your Spouse — How to Navigate Work and Life Together,"Apr 1, 2024",Emily Reynolds Bergh,https://www.entrepreneur.com/living/how-to-run-a-business-with-your-spouse-and-remain-happily/470498,"
It's a story as old as time. Two people marry. They decide to go into business together because, hey, why not? They're already each other's best friend, trust the other implicitly and presumably share the same professional goals for their future.Given how relatively common marital mergers are, much has already been written on the topic: some call it a science more than an art; some deem it magic, and many married co-owners have shared tips and tidbits about this particular life situation.So I'm not sure I'll have much new to add to the discussion. All I can say is that every married couple is different. So maybe my own personal perspective will be of interest to other romantic partners making a go of a business partnership right here, right now, at this unique point in history: in post-pandemic America at the first-quarter mark of the 21st century, in a largely WFH workplace.



Advantages and disadvantages of a spouse-run businessMy husband and I have learned a lot about balancing (more like juggling) our various roles as parents, romantic partners and business partners as we live atop a mountain together day in and day out in Upstate New York. We share five kids, a mortgage payment, too many college funds than I care to count, even more to-do and task lists, and in-laws flowing in and out of our lives like waves on the beach.Sometimes, it all gets a little overwhelming, and that's when the disadvantages of our arrangement reveal themselves, such as:


Getting on each other's last nerve because we're the only one there to annoy the otherAs a result, undeservedly taking our frustrations out on each other, again because of the proximity factorLetting ""work talk"" creep, even seep, into our after-hours discussions too much and too oftenNot having an outside, objective business partner to bounce ideas off of or counter our arguments when we need counteringNot having separate ""work families"" to hang with during the day, separate from our ""home families"" we return to when the workday is doneThe power struggle that can sometimes arise when one partner dominates a little more than the other in certain areasBoth being dependent on the same source of incomeBut mostly, we've established a nice give-and-take equilibrium that we maintain with fairness and mutual respect. On our good days, the advantages of a spousal business partnership are most apparent, including:We've totally got each other's backs — there's no one we rely on and trust more, and so there's no one to whom we'd rather entrust the fate of our business.Heightened empathy: we share our joys and sorrows together, really share them — not just commiserate with each other over the dinner table — because they happened to both of us.We equally hold responsibility for your wins and losses, which makes for a more equal partnership.It's much easier to coordinate busy schedules and endless family chores when we're splitting them up together in real-time, based on who's more available that day to take care of the home while the other is mired in work.All business finances and decisions are fully transparent and accessible to the other.Every day, all the time, we're working toward the same end goal — we do not have competing interests or priorities.We didn't just wake up one morning and get to this happy place. Over a number of years, we've had to negotiate many points of contention and iron out many wrinkles. Here's what we've come up with as ""5 Rules of the House"" that make our partnership hum and our business thrive.Rule #1: Formally schedule work timeIf you don't erect firm time boundaries, you will never truly get away from the office and into your personal relationship space. Sometimes, you can combine the two, being both a couple spending time together and business partners using that time productively. For example, at least once a week, my husband and I will schedule a 20-minute walk during which we hold hands and enjoy the outdoors, but we also agree to go over work issues.Rule #2: Work in separate spacesThis is really important — you each need your own space to talk freely, organize things the way you want them, play music or insist on silence, remain immovable at the desk for hours or pace the floor nonstop. My husband and I don't just work in separate offices; we work on separate floors! Although I realize not everyone has the square footage for two individual offices, you can devise a configuration of two distinct workstations in separate areas of your overall workspace. In my opinion, you have to. It's the best way to work together, but not in a stifling way.


Rule #3: Plan date nights and date daysYou must have couple time, not just co-partner time. I cannot stress this enough. Before my husband and I agreed to designate time on the calendar just for us, not our business at all, the business was all-consuming and overpowering, threatening to destabilize our union. We were forced to wrestle back control over our daily planners. Don't let things get to that point: set aside time to be a couple from the start.Rule #4: Accept that you will disagree, but do so in privateBecause Mom and Dad are always work partners, even at the soccer game or camping with the family, your children are bound to overhear some of your shop talk. Inevitable as that may be, you must strive mightily not to argue about work in front of the kids. They will feel the tension and sense the discord that has nothing to do with the two of you as a couple and everything to do with you as coworkers. When we need a facilitator or referee, we bring in our business manager to mediate. Do not use your children or other family members as sounding boards for your own sides of an argument.Rule #5: Divide and conquerAs mentioned above, when you're right there with each other all day, it makes it much easier to determine who's more accessible at that moment to go pick up the kids, to run this one to play practice or to pick up tomatoes for tonight's salad. My husband and I don't keep a formal tally sheet, but we have a very good sense of when one of us is picking up more of the slack, and we make a concerted effort to even things out in the long run.We don't resent the other for being able to leave the office when we're stuck on an endless conference call because they're leaving the office to take care of something for our joint life. Everyone wins when we divvy up the duties as housemates and officemates.


Running a business with the person you're closest to in the world isn't for everyone. If you need a lot of alone time, if you're more of a solo act than a team player and if the two of you just jibe better when you spend some time apart each day, I wouldn't advise it.But for couples who are comfortable with each other's work styles, who work in the same industry and bring separate but equally valuable skill sets to the enterprise, it's a wonderful option to go through life together feeling even more connected and conjoined. Not only can you navigate the challenges, but you will — because you're in it together, every single step of the way.
"
7,Write Your Business Plan | Part 1 Overview Video,"Apr 1, 2024",Dan Bova,https://www.entrepreneur.com/starting-a-business/write-your-business-plan-part-1-overview-video/473121,"
Wondering if it is time to write your business plan? If you are watching this, then the answer is yes.Simply put, having a business plan is going to help you organize your thoughts on what you plan to do and how you plan to do it. Your plan may change as you launch and grow — in fact it almost definitely will — but writing one now is going to give a great building block to get you started, and to help potential investors understand your vision.So what goes in a business plan? While they can vary greatly in length and detail, any solid plan will have these elements:Your basic business concept. What is your product or service and how it will fit into customers' lives?Your sales strategy. What goals do you have for your business? And how do you plan on reaching them?Your competitive advantages. What sets you apart? Why will customers want to purchase products and services from you and not your competitors?The markets you'll pursue. Who will your customers be? How will you attract and retain them?Your management team and key employees. Who are the people involved and what do they bring to the table for this specific business?Your financing needs. What will you need to launch and sustain the business in its startup phase?Concise and clear answers to these questions are going to help you, your team and potential investors all stay on the same page.To get started, continue reading or order a copy of Write Your Business Plan from the Entrepreneur.com bookstore.
  "
8,Ask Marc | Get Free Advice About Your Business From the Co-Founder of Netflix,"Mar 31, 2024",Entrepreneur Staff,https://www.entrepreneur.com/starting-a-business/ask-marc-get-free-advice-about-your-business-from-the/471200,"
The co-founder and first CEO of Netflix, Marc Randolph, has a personal mission to help entrepreneurs around the world achieve their dreams. He has mentored hundreds of early-stage entrepreneurs and helped seed dozens of successful tech ventures, and now he wants to help you.In our livestream series Ask Marc, you have the opportunity to ask Marc Randolph any of your most pressing business questions, from big-picture problems to in-the-weeds details, including:How do you start a business on a small budget?What's the best way to raise funds?What are the top actions a business should take to grow revenue?What is the best way to find and hire the right talent?This is a remarkable opportunity to ask one of the most successful and innovative business leaders anything you want! Register now and submit your questions for our livestream on April 11th at 2 PM EST.
"
9,The 3 Trusted Advisors Every Business Needs,"Mar 29, 2024",Frederick Royall III,https://www.entrepreneur.com/starting-a-business/3-advisors-every-business-owner-needs/471580,"
Entrepreneurs feel enormous pressure to meet ambitious goals and deliver for their customers, employees, investors and other stakeholders. The good news is that you don't have to go it alone.It's imperative to have a robust and strategically placed network of trusted partners, experts and advisors to lean on as you navigate challenges and reach new milestones. While there are numerous examples of external experts that business owners can benefit from and learn from, three stand out in my experience.1. A bankerBankers are at the center of the business ecosystem and are well-positioned to provide strategic guidance, facilitate connections and suggest comprehensive solutions to help you achieve your goals.



Over time, a banker could help provide:Expertise in capital structures and solutions: Your banker should be your go-to resource for assessing and optimizing your capital structure. They can provide deep knowledge on the types of solutions available to you — from something as simple as a line of credit to more complex offerings around debt and equity and tapping into the public and private markets. As you get up and running, you must establish a plan for managing cash flow and liquidity. They can help. Critically, a banker can also offer guidance on the best financial solutions to meet your operating needs today and achieve your long-term goals in the years to come.Strategic direction and guidance: Beyond traditional financial matters, a banker can provide insight into your overarching business strategy and help with goal setting. This may include reviewing your long-term plan, talking through your product set to determine if there are any gaps, and helping you consider domestic and global expansion.Expert network connections: Stemming from those strategic decisions, bankers can make introductions to essential partners, investors, and other industry experts to help you identify your next ample opportunity. In practice, this vital network can help guide you as you seek advice on more dynamic financial situations like navigating the supply chain, raising capital, entering new markets, structuring a governing board, implementing DEI practices, and so much more.In short, your banker should help you open doors and see around corners. They can help you tackle tough issues and solve pressing challenges and will be there to support you in the moments that matter.


Related: If You Want Your Clients to Truly Value You, You Need to Be Their Trusted Advisor. Here's How.2. An attorneyLike a banker, an attorney can advise your strategy and growth plans through a different but equally important lens. In my experience, in addition to legal counsel, attorneys bring exceptional industry knowledge and sound judgment and challenge you to think critically about your business.An attorney will focus on defining your business structure and can weigh in on the following:Contracts and agreements: Assistance crafting and negotiating documents such as contracts and non-disclosure agreements.Protecting what's yours: This includes protecting your intellectual property through patents, trademark registration and copyright protection.Implementing risk mitigation strategies: Identifying and navigating relevant laws, industry rules and regulations.Providing strategic counsel: Navigating complex legal landscapes, anticipating specific potential challenges and helping to safeguard your interests while promoting the long-term visibility of your business.When choosing an attorney, consider someone who specializes in your industry and the relevant area of law, has experience with your specific legal needs and has guided businesses through various growth stages. If you get it right, your attorney could bring a unique perspective to your company and pose questions you might not have considered.


Related: How to Find a Good Franchise Lawyer3. An accountantAn accountant is an essential member of your core team. They have a fiduciary responsibility to ensure the reporting, accounting and controls around your financial statement are reliable, timely and accurate. They can also provide significant value by implementing processes to prepare your business for key milestones.Working closely with the banking team, accountants can help:Simplify statements: An accountant will prepare and review statements to ensure accuracy and provide a clear overview of your business's financial health. They might conduct internal audits to ensure efficient financial processes or external audits for larger enterprises seeking outside funding.Maintain financial compliance: An accountant will work with you to ensure that your financial records are up to date, including tracking income, expenses and other financial transactions.Optimize administrative processes: Your internal accounting team will likely be responsible for all forms of process management, including, but not limited to, financial planning and forecasting, employee benefits, real estate and facilities, and physical and operational security. Engaging an external accountant can provide expertise around these tasks and help streamline processes and workflow.Related: 5 Tips for Finding a Great Advisor for Your Startup


A strong team for the long-termThroughout your entrepreneurial career, you will lean on and learn from many different experts. These three are just the beginning. Be methodical and diligent when searching for your trusted advisors, and don't be afraid to tap your network for referrals, seek out individuals at industry conferences, or reach out to other business owners whom you admire.Each person on your team should play an integral role, and the success of your business depends on your ability to fully trust them and their unique expertise. It takes time to build a team of trusted advisors, but if done right, I'm certain that this investment will pay dividends in the long term.
  "
